iter:5000, num:1000, p:0.4, meanerror:-0.02287674943606059, emp_p:0.3555327868852459
iter:5000, num:5000, p:0.4, meanerror:0.04043754060117025, emp_p:0.4065469904963041
iter:5000, num:10000, p:0.4, meanerror:0.014273213488715035, emp_p:0.3498452012383901
iter:5000, num:50000, p:0.4, meanerror:-0.030705173100743974, emp_p:0.381151832460733
iter:5000, num:100000, p:0.4, meanerror:-0.018313080072402954, emp_p:0.36618257261410786
iter:5000, num:500000, p:0.4, meanerror:0.034754474248204915, emp_p:0.36260330578512395
iter:5000, num:1000000, p:0.4, meanerror:-0.004112696363812401, emp_p:0.3489583333333333
iter:5000, num:1000, p:0.5, meanerror:0.010668064393694438, emp_p:0.4212678936605317
iter:5000, num:10000, p:0.5, meanerror:-0.043305137800791906, emp_p:0.3881656804733728
iter:5000, num:50000, p:0.5, meanerror:-0.011182103838239397, emp_p:0.4582893347412883
iter:5000, num:100000, p:0.5, meanerror:0.01229531140554519, emp_p:0.48261327713382507
iter:5000, num:500000, p:0.5, meanerror:-0.012482486783512055, emp_p:0.4614572333685322
iter:5000, num:1000000, p:0.5, meanerror:-0.014953986992911688, emp_p:0.4560496380558428
iter:5000, num:1000, p:0.6, meanerror:0.0299503831636338, emp_p:0.5647442872687704
iter:5000, num:5000, p:0.6, meanerror:0.012926210486699664, emp_p:0.5795918367346938
iter:5000, num:10000, p:0.6, meanerror:-0.0016955593748698159, emp_p:0.6118488253319714
iter:5000, num:50000, p:0.6, meanerror:0.013153073097032213, emp_p:0.6403508771929824
iter:5000, num:100000, p:0.6, meanerror:-0.00266952859976935, emp_p:0.6100823045267489
iter:5000, num:500000, p:0.6, meanerror:0.011021079052062262, emp_p:0.5810526315789474
iter:5000, num:1000000, p:0.6, meanerror:0.00742331099888635, emp_p:0.6032553407934893
iter:5000, num:1000, p:0.8, meanerror:0.01372104079004318, emp_p:0.8085539714867617
iter:5000, num:5000, p:0.8, meanerror:-0.0023230406500044324, emp_p:0.803680981595092
iter:5000, num:10000, p:0.8, meanerror:-0.02712314422168429, emp_p:0.7865284974093264
iter:5000, num:50000, p:0.8, meanerror:-0.006411643255324591, emp_p:0.7800616649537513
iter:5000, num:100000, p:0.8, meanerror:0.0018935071097479926, emp_p:0.7971163748712667
iter:5000, num:500000, p:0.8, meanerror:-0.006554765597222343, emp_p:0.7696447793326158
iter:5000, num:1000000, p:0.8, meanerror:0.01152655387681628, emp_p:0.7908496732026143
iter:5000, num:1000, p:1.0, meanerror:0.02353393653082469, emp_p:1.0
iter:5000, num:5000, p:1.0, meanerror:-0.0004858899684179397, emp_p:1.0
iter:5000, num:10000, p:1.0, meanerror:0.011694340005753532, emp_p:1.0
iter:5000, num:50000, p:1.0, meanerror:0.021653805460248674, emp_p:1.0
